Site,artifact #,Multi-Metal Composite Artifact Subdivision,objects per artifact number,Multi-Metal Description,Catalogue # (CMH),Accession # (PWNHC),Description,Primary Code Class,Secondary Code Class,Tertiary Code Class,Quaternary Code Class,Geographic Locale,Territory,length mm,width mm,ht/thickness mm,weight gm,pXRF,photos,"Include in Final for CAA (adjust as needed - missing or ? should be changed to no if it is obviously historic, otherwise include it)",Notes,xrf notes,flag to examine more,notes (bag),native/historic/unknown,XRF determination,Clean copper signal?,Research Year,Permit number,Curation Facility,Collection Date,Collector,Accession No,Area,Square/Unit,Level/Stratum,Feature,Other Provenience Detail,Provenience Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NbTj-1,89,,,,NbTj-1:89,,metal fragment native copper,,,,,,NWT,22.34,12.23,1.82,1.1,y,30-0045,yes,"Small, hammered nugget with a rough diamond shaped hole punched through the center (not drilled, there are remnants of the punch folded around the other side). Perhaps a rough blade fragment and rivet hole?  ",,,,,,,2015,,CMH,1992,"Pilon , Ph.D., Dr. Jean-Luc - Canadian Museum of Civilization",3038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-1,112,,,,NcPd-1:112,,copper knife with antler handle,,,,,,,54.23*,12.72,2.29,na,y,29-0816,yes,"single edge knife blade (curving tip) articularing with bone handle.  Also 2 copper rivets attaching blade.  The presence of the 2 rivets makes me think that there is no real tang on this blade.  I recall some that had a blade morphology like this but instead of a long, square X section tang there was a flat, wide tang.  There are other examples somewhere.",,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-1,113,,,,NcPd-1:113,,drill bit with copper,,,,,,"NWTNunavut",15.47*,3.98,4.18,na,y,29-0837,yes,"copper bit set into antler handle.  Labeled as 'drill'.  The tip does appear to be rounded and worn.  Bit is square in cross section, and appears to be hafted by friction alone.  Proximal end of antler handle also appears worn, as if it has also been worn through a 'drilling' motion",,,,,,,2015,,CMH,1962,"Semmler, L. F.",1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-1,114,,,,NcPd-1:114,,"harpoon head, copper endblade, copper rivet",,,,,,,32.09,16.54,1.88,na,y,29-0849,yes,"harpoon endblade with rounded tip, flat base, and central copper rivet.",,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-1,137,,,,NcPd-1:137 (artifact labled NdPd-1:137),,ulu blade hasp(?) of copper,,,,,,"NWTNunavut",76.65,35.55,1.67,12.9,y,2013,yes,"Borden code changed for this site.  Correct number is NcPd-2. 'see NcPd-1:137 - Site NcPd-1 vs. NdPd-1 – objects NcPd-1:137 and NcPd-1:138 were missing, and NdPd-1:137 and NdPd-1:138 match their descriptions but were not on my list.  Sampled for metallography previously - drill holes.  Appears to be fragmentary ulu blade.",,,,,,,2015,,CMH,1962,"Semmler, L. F.",1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-1,138,,,,NcPd-1:138 (artifact labeled NdPd-1:138),,ulu blade hasp(?) of copper,,,,,,"NWTNunavut",47.82,30.21,1.15,4.3,y,2017,yes,"Borden code changed for this site.  Correct number is NcPd-2.  see NcPd-1:138 - Site NcPd-1 vs. NdPd-1 – objects NcPd-1:137 and NcPd-1:138 were missing, and NdPd-1:137 and NdPd-1:138 match their descriptions but were not on my list.   Appears to be fragmentary ulu blade.",,,,,,,2015,,CMH,1962,"Semmler, L. F.",1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-1,139,,,,NcPd-1:139 (NdPd-1:139 ?),,triangular copper blade or point,,,,,,"NWTNunavut",,,,,,,yes,"Borden code changed for this site.  Correct number is NcPd-2. see NcPd-1:139 - NdPd - 1:139 has a label with NdPd-1:137 and NdPd-1:138, but was also missing from that case.",,,,,,,2015,,CMH,1962,"Semmler, L. F.",1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-1,140,,,,NcPd-1:140,,1 copper fragment.,,,,,,"NWTNunavut",54.27*,6.39,4.89,10.4,y,29-0787,yes,Borden code changed for this site.  Correct number is NcPd-2. very regular bar.  Definitely hammered from a nugget.  Both ends appear to have been cut for metallography?,,,,,,,2015,,CMH,1962,"Semmler, L. F.",1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-1,141,,,,NcPd-1:141,,1 copper fragment.,,,,,,"NWTNunavut",65.33,12.81,7.34,28.8,y,29-0787,yes,Borden code changed for this site.  Correct number is NcPd-2. ,,,,,,,2015,,CMH,1962,"Semmler, L. F.",1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-2,9,,,,NcPd-2:9,,pc. copper,,,,,,"NWTNunavut",na,na,0.59,1.6,y,29-0780,yes,"Borden code changed for this site.  Correct number is NcPd-2.  rolled sheet, cant tell if it is historic sheet or native sheet",,,,,,,2015,,CMH,1963,"Taylor , Ph.D, Dr. William Ewart - Canadian Museum of Civilization",1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-2,135,,,,NcPd-2:135 (artifact labeled NdPd-2F:135),,copper-bladed ulu,,,,,,"NWTNunavut",80.86,32.43*,1.44,40.5*,,25-0331,yes,"Borden code changed for this site.  Correct number is NcPd-2.  Ulu, convex rectangular blade.  Hafted in antler handle with friction wedge.  Weight contains antler.  Width measured from blade edge to hafting articulation.",,,,,,,2015,,CMH,1963,"Taylor , Ph.D, Dr. William Ewart - Canadian Museum of Civilization",1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-2,192,,,,NcPd-2:192,,copper frag.,,,,,,"NWTNunavut",na,na,3.48,21,y,25-0393,yes,Borden code changed for this site.  Correct number is NcPd-2. hammered nugget.  Sampled for metallography,,,,,,,2015,,CMH,1963,"Taylor , Ph.D, Dr. William Ewart - Canadian Museum of Civilization",1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-2,193,,,,NcPd-2:193,,copper strip,,,,,,"NWTNunavut",49.17,4.45,2,2.5,y,25-0396,yes,Borden code changed for this site.  Correct number is NcPd-2. rectangular cross section.  Copper strip.  Loop formed in one end.  Not sure if other end if fracture or not,,,,,,,2015,,CMH,1963,"Taylor , Ph.D, Dr. William Ewart - Canadian Museum of Civilization",1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-2,195,,,,NcPd-2:195,,copper frag.,,,,,,"NWTNunavut",na,na,2.03,8.9,y,25-0466,yes,Borden code changed for this site.  Correct number is NcPd-2. hammered nugget.  ,,,,,,,2015,,CMH,1963,"Taylor , Ph.D, Dr. William Ewart - Canadian Museum of Civilization",1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPd-2,208,,,,NcPd-2:208,,copper ulu blade,,,,,,"NWTNunavut",65.22,47.51,1.46,18.9,y,25-0350,yes,Borden code changed for this site.  Correct number is NcPd-2. Ulu blade fragment.  Line of discoloration from hafting is visible opposite the blade side.  Portion sampled for metallography.,,,,,,,2015,,CMH,1963,"Taylor , Ph.D, Dr. William Ewart - Canadian Museum of Civilization",1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPf-1,1-7,,,,NcPf-1:1-7,,"blade fragment, copper",,,,,,"NWTNunavut",13.66,10.4,1.53,0.9,y,2259,yes,"blade tip.  Rounded tip.  Has triangular cross section similar to the single-edged blades formed by one blunt, squared off side and one sharpened side.",,dinolite of triangular cross section,,,,,2015,,CMH,1981,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPf-1,1-8,,,,NcPf-1:1-8,,"sideblade fragment, copper",,,,,,"NWTNunavut",77.17,34.93,1.61,14.4,y,2254,yes,"looks more like an ulu blade.  Corners are rounded, and there is a line of discoloration where the handle likely attached.",,,,,,,2015,,CMH,1981,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPf-1,10-4,,,,NcPf-1:10-4,,fragment of copper,,,,,,"NWTNunavut",24.77,3.91,3.12,1.2,y,25-0507,yes,"small barb, one end is an edge, other is rough",,,,,,,2015,,CMH,1981,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPf-12,1-1,,,,NcPf-12:1-1,,"harpoon head, Clachan, antler with copper rivet",,,,,,"NWTNunavut",9.03,na,na,na,y,"25-0747 (?), 25-0476, & 25-0504 (main photos)",yes,see description for harppon head detail.  Missing end blade.  Copper rivet (see length measurement),several shots taken of the extreme tip of the harpoon head to try and determine the blade material.  Comparative shots appear to show copper staining on the endblade tip.,,,,,,2015,,CMH,1981,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPf-12,2-11,,,,NcPf-12:2-11,,"endblade, copper",,,,,,"NWTNunavut",40.14,24.73,1.78,4.8,y,25-0481,yes,triangular endblade. Double proximal barbed.  Concave base.  Single perforation (teardrop/diamond shaped) on one shoulder.  The barb/shoulder with the perforation is larger than the other barb.,,,,,,,2015,,CMH,1981,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPf-12,2-13,,,,NcPf-12:2-13,,"leister barb or pin, copper",,,,,,"NWTNunavut",35.22,4.19,3.89,3,y,25-0464,yes,barb/awl. Kind of short. Square cross section.  One end is tapered to a point more than another.  Other end is rough,,,,,,,2015,,CMH,1981,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPf-12,3-1,,,,NcPf-12:3-1,,"harpoon head, Thule 3/Sicco, antI with copper endblade",,,,,,"NWTNunavut",34.23,23.31,1.61,na,y,25-0391,yes,"very cool harpoon head. See description for harpoon head details.  Endblade appears to have flat base, rounded shoulders, 2 perforations, 1 on each shoulder.  Braided cordage still attached to both perforations. Really good example of how copper endblade morphology works with harpoon head. you can see how the cordage would have looped through a hole in the harpoon head and back up to the other side of the endblade.",,,,,,,2015,,CMH,1981,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPf-12,5-6,,,,NcPf-12:5-6,,"bracelet frag., copper",,,,,,"NWTNunavut",35.55,3.87,1.9,1.5,y,25-0359,yes,"small, curved fragment, rectangular cross section.  Could be a bracelet fragment, but it could be a lot of other things too.",,,,,,,2015,,CMH,1981,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NcPf-12,7-5,,,,NcPf-12:7-5,,copper nugget,,,,,,"NWTNunavut",na,na,4.1,5.3,y,25-0461,yes,hammered nugget,,,,,,,2015,,CMH,1981,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NfTn-2,201,,,,,992.15.####,,,,,,,NWT,79.85,10.05,6.92,5 (whole object),"yes - 2, rivet and background",1951-1958,yes,Arrowhead - Antler & copper - barbed foreshaft with copper rivet where endblade would have been.  Tapered proximal end for articulation with larger shaft,,,AS 4-2-11a - Arrowhead - Antler & copper,,,,2014,92-722,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NgTi-1,274,,,,NgTi-1:274,,"antler handle, copper rivet",,,,,,NWT,7.93,3.33,na,na,y,2217,yes,"2 copper rivets, measurements on more complete rivet.  Rivet shaft exposed, appears to have carved striations, possibly for friction?",stain from blade shows iron,,,,,,2015,,CMH,1985,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2491,,,,,slump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NgTi-1,437,,,,NgTi-1:437,,copper fragment,,,,,,NWT,na,na,0.42,0.2,y,25-0397,yes,hammered fragment/production waste flake,,,House int.; #46; under floor 1,,,,2015,,CMH,1986,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2555,,,,h.i.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhJp-4,5,,,,NhJp-4:5,,modified bone with copper rivet,,,,,,NWT,,,,,,,missing,could not find'  '64',,,,,,,2015,,CMH,,,2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhPf-0?,192,,,,IX-D:192 (NhPf-0 ?),,bone prong for a leister with copper point,,,,,,NWT,,,,,,,?,Deaccesioned to Inuit Heritage Trust - currently still at CMH but limited access,,,"Desc - bone arm with copper point, of fish spear. Location - From old stone grave, Read Is., Dolphin and Union St., [added in pencil] Nunavut.  Collector - Capt. F. Bernard. Date - Purchased Mar. 1921 [date accesioned?]. Accn- 251 (associated with IX-D:211)",,,,2015,,CMH,1920,"Bernard, Captain JosephCanadian Arctic Expedition",0251,,,,,From old stone grave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTn-1,282,,,,,991.92,,,,,,,NWT,38.21,7.83,3.78,1.2,yes,previously taken,yes,fishhook with copper barb,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTn-1,405,,,,,991.92,,,,,,,NWT,50.37,10.54,2.71,3.8,yes,previously taken,yes,"antler with copper drill bit, bit is 9x3mm - native",,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTr-1,79,,,,NhTr-1:79,,copper barb,,,,,,NWT,57.05,2.98,2.23,1.4,y,25-0401,yes,"barb/awl.  Rough.  One end is flattened, other comes to a point. Not a uniform cross section the entire length",,,,,,,2015,,CMH,1970,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,341,,,,,983.63.286,,,02,,,,NWT,81.52,6,3.38,7.47,yes,previously taken,yes,large fishhook - probably native copper,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,342,,,,,983.63.287,,,03,,,,NWT,35.86,25.09,1.77,6.05,yes,previously taken,yes,"endblade, triangular, looks like guitar pick",,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,1896,,,,,984.64.1079,,,06,,,,NWT,43.26,4.96,3.59,3.73,yes,previously taken,yes,"triangular awl, perhaps destined for fishhook",,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,1897,,,,,984.64.1080,,,05,,,,NWT,25.19,1.4,1.27,0.22,yes,1143-1146,yes,needle,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,1898,,,,,984.64.1081,,,05,,,,NWT,36.65,1.27,1.17,0.24,yes,previously taken,yes,needle,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,1899,,,,,984.64.1082,,,06,,,,NWT,31.37,4.81,2.57,2.07,yes,previously taken,yes,if straight would be 36 mm in length,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,1966,,,,,999.88.###,,,11,,,,NWT,17.59 ext dia,2.86,0.68,<1,yes,1445-1449,yes,copper - ring (Friesen),,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,1978,,,,,999.88.###,,,11,,,,NWT,95.5 total with curve,ext dia 4.2,0.59,,yes,1454-1460,yes,"copper - bracelet? (Friesen) - (probably) 3 copper sheets/beads wrapped around leather band, beads are 33.67 mm, 20.99mm, 40.7mm",,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,2032,,,,,999.88.###,,,06,,,,NWT,31.51,3.3,2.43,<1,yes,1450-1453,yes,copper - point (Friesen),,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,2177,,,,,999.88.###,,,06,,,,NWT,54.37,5.78,3.26,5,yes,1440-1444,yes,copper - barb? (Friesen) - xrf spectra contains bromine,,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,2532,,,,,999.88.###,,,01,07,,,NWT,31.32,6.93,1.16,<1,yes,1546-1550,yes,copper - folded/hammered piece (Friesen),,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,2533,,,,,999.88.###,,,10,,,,NWT,23.59,12.96,1.14,<1,yes,1526-1531,yes,copper - worked piece (Friesen),,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,2534,,,,,999.88.###,,,01,05,,,NWT,10.53,4.68,1.17,<1,yes,1532-1536,yes,copper - worked piece (Friesen),,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,2535,,,,,999.88.###,,,06,,,,NWT,12.5,2.32,1.72,<1,yes,1437-1477,yes,copper - point frag (Friesen),,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,2664,,,,,999.88.###,,,02,,,,NWT,22.6,1.73,1.71,4 (whole object),yes,1461-1466,yes,ivory/copper - fish hook w/ copper piece (Friesen) - measurements just metal,,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,2828,,3,3 small bar blanks bound by cordage,,999.88.###,,,01,,,,NWT,29.39,12.59,7.65,4 (whole object),"yes, on only one piece",1537-1545,yes,copper/sinew - copper and sinew (Friesen) - 3 (?) pieces of copper wrapped in sinew - xrf only taken on the piece that protrudes the farthest from the sinew,,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,3203,,,,,999.88.###,,,01,,,,NWT,13.86,8.66,1.48,<1,yes,1551-1556,yes,copper - frag. (Friesen),,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,3204,,,,,999.88.###,,,01,,,,NWT,15.37,7.5,0.75,<1,yes,1478-1483,yes,copper - frag. (Friesen),,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NhTs-2,3411,,,,,999.88.###,,,06,,,,NWT,47.2,4.93,3.87,4,yes,1484-1489,yes,copper - barb? (Friesen),,,,,,,2014,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiHf-1,479,,,,NiHf-1:479,,copper pc. - missing,,,,,,NWT,,,,,,,missing,not in cab. 204',,,,,,,2015,,CMH,1965,"Meldgaard, Jorgen",2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiHf-4,3302,,,,,994.26,,,,,,Igloolik Island,Nunavut,14.26,2.1,3.08,<1,yes,1905-1909,yes,copper - tapers to a point - awl tip?,,,,,,,,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiHf-4,3420,,,,,995.22,,,,,,Igloolik Island,Nunavut,38.85 if not bent,4.03,1.76,<1,yes,1920-1925,yes,copper fishhook? - bent flattened awl form,,,,,,,,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiHf-4,3462,,,,,995.22,,,,,,Igloolik Island,Nunavut,33.18,8.54,1.91,<1,yes,1915-1919,yes,Copper point? ,,,,,,,,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiHf-4,4582,,,,,996.82,,,,,,Igloolik Island,Nunavut,11.9,5.6,0.27,<1,yes,1926-1927,yes,copper fragment,,,,,,,,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiHf-4,4823,,,,,996.82,,,,,,Igloolik Island,Nunavut,56,2.28,1.4,<1,yes,1910-1914,yes,needle - eye at one end,,,,,,,,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiJp-11,50,,,,NiJp-11:50,,copper arrowhead,,,,,,NWT,56.32,16.83,4.78,8.7,y,25-0557,yes,"endblade with cylindrical tang.  Much different looking than many of the other tanged endblades.  Leaf shaped blade - on this one the widest section is mid blade.  On many other examples the shoulders are the widest section, and are closer to the base.  both edges are sharpened.  tip looks fractured.  the upper third of the blade seems to taper in a straight line up to the point, rather than continue the convex curve of the bottom 2/3s",,,,,,,2015,,CMH,1982,"Savelle, J. M.",2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiJp-11,151,,,,NiJp-11:151,,knife handle with 2 copper nails (2 copper rivets and a copper blade fragment),,,,,,NWT,see notes,na,na,na,y,25-0519,yes,"2 copper rivets (10.7, 11.52 lengths) and a copper blade fragment embedded within blade slot.  Hole for a 3rd rivet",copper blade fragment confirmed with xrf,,,,,,2015,,CMH,1982,"Savelle, J. M.",2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiJq-15,8,,,,NiJq-15:8,,copper blade fragment,,,,,,NWT,21.87,9.8,1.26,1.6,y,25-0586,yes,hard to tell.  If this is a blade fragment then it is very dull (or unfinished).  One side is thinner than the other (0.8 m compared to 1.2 mm roughly) but it is relatively squared off,,,,,,,2015,,CMH,1982,"Savelle, J. M.",2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiNg-1,138,,,,NiNg-1:138,,Fragment copper,,,,,,"NWTNunavut",,,,,,,missing,did not find',,,,,,,2015,,CMH,1965,"Taylor , Ph.D, Dr. William Ewart - Canadian Museum of Civilization",1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiNg-1,655,,,,NiNg-1:655,,Frag. beaten copper,,,,,,"NWTNunavut",34.44,12.13,0.55,1,y,25-0579,yes,"note says Pre-Dorset (that would be cool).  Triangular shape, not a point.  The skinnier end is thicker (0.99mm thick)(rectangular cross section).  Looks like the other end is hammered flatter and wider until it reaches the 0.55 thickness.  I think the wide, flat end would have been the use edge, perhaps as some kind of scraper?",,,Pre-Dorset',,,,2015,,CMH,1965,"Taylor , Ph.D, Dr. William Ewart - Canadian Museum of Civilization",1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiNg-2,101,,,,NiNg-2:101,,copper frag.,,,,,,"NWTNunavut",,,,,,,missing,did not find',,,,,,,2015,,CMH,1965,"Taylor , Jr., Dr. William Ewart - Canadian Museum of Civilization",1550/71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiNg-2,411,,,,NiNg-2:411,,modified copper fragment: hammered,,,,,,"NWTNunavut",na,na,2.07,2.8,y,25-0568,yes,hammered nugget,,,,,,,2015,,CMH,1988,"Taylor , Jr., Dr. William Ewart - Canadian Museum of Civilization",2632,,E-8,4,h2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiNg-2,486,,,,NiNg-2:486,,modified copper piece: hammered,,,,,,"NWTNunavut",36.15,8.3,2.21,2.4,y,25-0566,yes,"hammered piece, looks like it was rolled or folded and then hammered repeatedely.  Very rough, no finished edges",,,,,,,2015,,CMH,1988,"Taylor , Jr., Dr. William Ewart - Canadian Museum of Civilization",2632,,G-8,2,h2,L2 to 10 cm b.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiNg-2,496,,,,NiNg-2:496,,modified copper piece: hammered,,,,,,"NWTNunavut",45.86,12.99,2.17,6.3,y,25-0544,yes,"flat, hammered rectangular bar.  Some kind of blank?  Both long edges are blunt",,,,,,,2015,,CMH,1988,"Taylor , Jr., Dr. William Ewart - Canadian Museum of Civilization",2632,,G-8,3,h2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiNg-2,578,,,,NiNg-2:578,,native copper piece,,,,,,"NWTNunavut",49.47,6.05,2.83,3.5,y,25-0562,yes,"rectangular cross section awl/barb form, fractured or unfinished on both ends",,,,,,,2015,,CMH,1988,"Taylor , Jr., Dr. William Ewart - Canadian Museum of Civilization",2632,,F-9,3,h2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiNg-2,819,,,,NiNg-2:819,,triangular copper end-blade,,,,,,"NWTNunavut",27.98,18.01,1.48,3.1,y,25-0548,yes,"endblade.  Convex sides, concave base.  Single, central hole near base.  Harpoon blade?  Edges are sharp everywhere except for the apex of the concavity on the base",,,,,,,2015,,CMH,1988,"Taylor , Jr., Dr. William Ewart - Canadian Museum of Civilization",2632,,,,h4,"main room, SW 1/2, refill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiNg-8,15,,,,NiNg-8:15,,Copper point,,,,,,"NWTNunavut",,,,,,,?,,,,,,,,2015,,CMH,,,1550/71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NiNg-8,16,,,,NiNg-8:16,,Copper hook,,,,,,"NWTNunavut",~45mm (estimated on the curve,2.21,1.53,1,y,25-0525,yes,"square cross sectin hook.  Straight length is 29.22.  hook end tapers to point, proximal end is fractured",,,,,,,2015,,CMH,,,1550/71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
